fresh001,English,Freshman English,two semesters,TRUE,9,"This course is designed to help students develop sound, individual writing styles and gain confidence in evaluating literature, exposing students to themes involving adolescence, the journey, and individuality. All freshmen read Oedipus Rex, and a selection of short stories and poetry in the first semester. The second semester continues with a focus on poetry, a Shakespeare play chosen by the teacher (some choices include Romeo & Juliet; The Taming of the Shrew; The Winter's Tale; A Midsummer's Night Dream), and a novel, also the teacher's choice. Recent titles for these books include A Long Way Gone, Monkeys, The Catcher in the Rye and I Know Why the Caged Bird Sings. Each student also reads two outside-reading books, one per semester, chosen by individual freshman English teachers. Students study vocabulary weekly, a practice which will continue through a student's four years at The Governor's Academy. They also study grammar prescriptively (through their writing). While much of the students writing is literature-based essays (working toward internalizing the five paragraph form), creative writing (narration, poetry, and personal essays) is also assigned once a quarter."
sopho001,English,Sophomore English,two semesters,TRUE,10,"The Sophomore English curriculum encompasses the exploration and development of personal voice through both the study of characters' voices in literature as well as a broad range of writing assignments. Readings in the first semester include Macbeth, poems by international authors, and a novel of the teacher's choosing. In the second semester, sophomores read Their Eyes Were Watching God as well as short stories from an anthology of international authors and personal essays. Sophomore students also pursue outside reading selected by the individual teachers. Sophomores continue to hone their writing skills, moving beyond the five paragraph essay. A special emphasis is placed on the writing of personal narratives and memoir pieces."
junio001,English,Junior English,two semesters,TRUE,11,"Writing at the junior level moves beyond grammar and mechanics to a more sophisticated consideration of form and style. Junior students practice the skills of reading carefully, writing clearly and honestly, and engaging in respectful discussion. They consider the problems of achieving an effective and authentic identity in the stress of a culture which values Emersonian self-reliance but which also locates individuals as members of various groups or cultures. Texts include, but are not limited to, Julius Caesar, Death of a Salesman, The Narrative of the Life of Frederick Douglass, On the Duty of Civil Disobedience, Self-Reliance, The Great Gatsby, The American Bible, Interpreter of Maladies, and select American poets (chosen by each teacher). Three times during the year students will take vocabulary competency examinations. Vocabulary study is based on words taken from the reading as well as a study of mythological, Biblical, historical and literary allusions."
apjun001,English,AP Junior English,two semesters,TRUE,11,"This extensive and intensive course in literature, rhetoric and writing provides an academic challenge for highly motivated students of English. While students study numerous texts from a variety of periods, much of the literature focuses on the non-fiction and fiction of American literature. Students write weekly essays in a variety of forms -- persuasive, expository, and narrative and work with sources from the media and social media to enhance their understanding of rhetoric. This course requires supplementary work over the summer and during vacations, and meets for an additional class period during the week. Selection for AP Language and Composition is based on maintaining a B+ or higher average in sophomore English and receiving the recommendation of their sophomore English teacher. Students must sit for the AP Language and Composition exam in May."
ameri001,English,American Studies,two semesters,TRUE,11,"How do American literature and history intersect? Both offer a narrative of human lives. This course offers a unique opportunity to examine American social, political, cultural, and artistic movements through the perspectives of American history and literature. Working within a chronological framework, we will examine American society from European contact through the present. We will focus our analysis onevents, movements, groups, and individuals who have shaped and continue to influence American culture. We will explore current events and their connection to our past. A 10-page research paper is required. This course meets for a double period and fulfills credits for junior English & United States History. (Prerequisite: 2 semesters of history)"
senio001,English,Senior English,two semesters,TRUE,12,"To fulfill the English requirement, each senior will take a common course in the fall semester and then select one SPRING-semester course. In the fall common course, by reading paired texts, students will explore the depth, breadth, and variety of human experience that literature provides its readers. The core text for this course will be William Shakespeare's King Lear, paired with other texts of the teacher's choosing. All seniors, except those enrolled in the EN 51-52: AP Literature and Composition course, will take this course. Second semester, however, seniors may choose an elective to meet their English requirement."
lifew001,English,Life Without Principle,spring elective,FALSE,12,"Students will do close readings of all of Thoreau's major essays. We will also read and study his journals and several chapters from Walden. Students will keep a daily journal and submit periodic essays. Class discussions will focus on how Thoreau's concerns may affect us as we attempt to live our 21st century lives in the daily creep toward ""singularity."""
evili001,English,Evil in Literature and Film,spring elective,FALSE,12,"As the success of the Harry Potter series and The Hunger Games trilogy and the Star Wars movies shows, readers and movie- goers of all ages are fascinated with the conflict between good and evil. Often times the evil characters prove to be the most fascinating. Satan in John Milton's Paradise Lost, the murderers in Moises Kaufman's The Laramie Project, Dr. Faustus and the devils in Christopher Marlowe's Dr. Faustus, Kurtz in Joseph Conrad's Heart of Darkness, and the motorcyclists in Hunter Thompson's Hell's Angels reflect varying manifestations of evil. Drawing on these texts, we will explore the nature of evil. Where does evil originate? Is evil the other or is evil in each one of us? In what ways does evil contribute to problems that plague us in the 21st century? We will also study evil characters in several movies, including Taylor Hackford's The Devil's Advocate and Francis Ford Coppola's Apocalypse Now and compare them to the course readings. In her article, Are Humans Born Evil? Sylvia Goldhill states: We may flinch from understanding evil, but it's our moral duty to do so. Student-led discussion is a critical part of the course, and our seminar-style approach will give students flexibility to determine how much time and attention we devote to each of these proposedtexts."
conte001,English,Contemporary American Drama,spring elective,FALSE,12,"In this class, we will read several plays all written since 2005 and we will attempt to draw conclusions about how the playwrights of today attempt to represent the conflicts and concerns of the present age. In our discussions, we will examine two aspects of the plays: the topics that the playwrights choose to tackle, and the ways in which they experiment with dramatic form to best illuminate these topics and the themes they convey. Among the playwrights we will read will be Ayad Akhtar, Tracy Letts, Lynn Nottage and David Lindsay-Abaire. We will also focus on performance by watching several movie versions of plays and by working out our own dramatic readings of the material. For the final project, students will write, direct, and perform an original scene of a play that will be performed in front of members of the class."
sport001,English,Sports Beyond the Field,spring elective,FALSE,12,"Using the media of novels, film, essays, short stories, and editorials, we will explore the role that sports have in connecting friends, families, teams, and communities. We will talk about the impact that sports can have on our lives and why we are drawn to them. We will consider what role they might have in building character and teaching life lessons. Who are our heroes and why are we drawn to the underdog? Conversely, we will think about possible drawbacks. Are we too obsessed with winning and losing? How does this obsession affect young people in our society?"
